    ' this is the lookup table for bridging analysis. Comments start with '
    ' The six data file name must be:
    ' CENLENG.DAT   --- Center cracked,      buckle length
    ' SENLENG.DAT   --- single edge cracked, buckle length
    ' HOLELENG.DAT  --- hole,                buckle length
    ' CENSTRE.DAT   --- Center cracked,      ligament stress
    ' SENSTRE.DAT   --- edge cracked,        ligament stress*w/b
    ' HOLESTRE.DAT  --- Center cracked,      ligament stress
    '
    ' format for each data:
    ' 1. grid count start from the lower left corner
    ' increase by one for next left grid until reach the leftmost side
    ' then continue onto next row above
    ' 2. four local points inside the grid start from the lower left
    ' corner of the grid, then count anti-clockwise
    '         ---------------------------
    '         | L4      L3 | L4      L3 |
    '         |            |            |
    '         |   grid3    |   grid4    |
 1.00000E+00  -2.00000E+00   7.60000E-03  -5.00000E-05   1.51188E-02  -7.83545E-04  
 2.00000E+00  -2.00000E+00   7.60000E-03   0.00000E+00   1.42797E-02  -4.07007E-04  
 2.00000E+00  -1.00000E+00   5.82000E-02  -5.95312E-04   1.37458E-01   4.46582E-03  
 1.00000E+00  -1.00000E+00   5.97000E-02  -3.19688E-03   1.30812E-01  -6.47539E-03  
' igrid= 12
 2.00000E+00  -2.00000E+00   7.60000E-03   0.00000E+00   1.42797E-02  -4.07007E-04  
 3.00000E+00  -2.00000E+00   7.60000E-03   0.00000E+00   1.42797E-02   3.93311E-05  
 3.00000E+00  -1.00000E+00   5.82000E-02   7.03125E-05   1.37458E-01  -3.11499E-04  
 2.00000E+00  -1.00000E+00   5.82000E-02  -5.95312E-04   1.37458E-01   4.46582E-03  
' igrid= 13
-3.00000E+00  -1.00000E+00   6.44000E-02  -2.53125E-04   1.17362E-01  -1.05535E-03  
-2.00000E+00  -1.00000E+00   6.44000E-02   3.20156E-03   1.17362E-01   1.19056E-02  
-2.00000E+00   0.00000E+00   2.36500E-01   2.36078E-02   1.73597E-01   2.28463E-02  
-3.00000E+00   0.00000E+00   2.36500E-01  -2.11875E-03   1.73597E-01  -2.23206E-03  
' igrid= 14
-2.00000E+00  -1.00000E+00   6.44000E-02   3.20156E-03   1.17362E-01   1.19056E-02  
-1.00000E+00  -1.00000E+00   6.98000E-02   2.79688E-04   1.39877E-01   1.78899E-02  
-1.00000E+00   0.00000E+00   2.81700E-01   3.89219E-02   2.21214E-01   6.22918E-02  
-2.00000E+00   0.00000E+00   2.36500E-01   2.36078E-02   1.73597E-01   2.28463E-02  
' igrid= 15
-1.00000E+00  -1.00000E+00   6.98000E-02   2.79688E-04   1.39877E-01   1.78899E-02  
 0.00000E+00  -1.00000E+00   6.45000E-02  -5.70625E-03   1.48555E-01  -6.32375E-03  
 0.00000E+00   0.00000E+00   3.05400E-01  -3.80938E-03   2.89359E-01   4.97274E-02  
-1.00000E+00   0.00000E+00   2.81700E-01   3.89219E-02   2.21214E-01   6.22918E-02  
' igrid= 16
 0.00000E+00  -1.00000E+00   6.45000E-02  -5.70625E-03   1.48555E-01  -6.32375E-03  
 1.00000E+00  -1.00000E+00   5.97000E-02  -3.19688E-03   1.30812E-01  -6.47539E-03  
 1.00000E+00   0.00000E+00   2.78900E-01  -1.37437E-02   3.11030E-01  -2.47599E-02  
 0.00000E+00   0.00000E+00   3.05400E-01  -3.80938E-03   2.89359E-01   4.97274E-02  
' igrid= 17
 1.00000E+00  -1.00000E+00   5.97000E-02  -3.19688E-03   1.30812E-01  -6.47539E-03  
 2.00000E+00  -1.00000E+00   5.82000E-02  -5.95312E-04   1.37458E-01   4.46582E-03  
 2.00000E+00   0.00000E+00   2.82300E-01   3.10156E-03   2.50411E-01  -3.10674E-02  
 1.00000E+00   0.00000E+00   2.78900E-01  -1.37437E-02   3.11030E-01  -2.47599E-02  
' igrid= 18
 2.00000E+00  -1.00000E+00   5.82000E-02  -5.95312E-04   1.37458E-01   4.46582E-03  
 3.00000E+00  -1.00000E+00   5.82000E-02   7.03125E-05   1.37458E-01  -3.11499E-04  
 3.00000E+00   0.00000E+00   2.82300E-01  -1.59375E-04   2.56078E-01   6.20640E-03  
 2.00000E+00   0.00000E+00   2.82300E-01   3.10156E-03   2.50411E-01  -3.10674E-02  
' igrid= 19
-3.00000E+00   0.00000E+00   2.36500E-01  -2.11875E-03   1.73597E-01  -2.23206E-03  
-2.00000E+00   0.00000E+00   2.36500E-01   2.36078E-02   1.73597E-01   2.28463E-02  
-2.00000E+00   1.00000E+00   3.87800E-01   4.54422E-02   8.20578E-02   1.34280E-02  
-3.00000E+00   1.00000E+00   3.87800E-01  -4.38281E-03   7.97750E-02   3.80859E-05  
' igrid= 20
-2.00000E+00   0.00000E+00   2.36500E-01   2.36078E-02   1.73597E-01   2.28463E-02  
-1.00000E+00   0.00000E+00   2.81700E-01   3.89219E-02   2.21214E-01   6.22918E-02  
-1.00000E+00   1.00000E+00   4.81300E-01   1.15456E-01   1.10161E-01   4.75897E-02  
-2.00000E+00   1.00000E+00   3.87800E-01   4.54422E-02   8.20578E-02   1.34280E-02  
' igrid= 21
-1.00000E+00   0.00000E+00   2.81700E-01   3.89219E-02   2.21214E-01   6.22918E-02  
 0.00000E+00   0.00000E+00   3.05400E-01  -3.80938E-03   2.89359E-01   4.97274E-02  
 0.00000E+00   1.00000E+00   6.02700E-01   9.07516E-02   1.78200E-01   9.12098E-02  
-1.00000E+00   1.00000E+00   4.81300E-01   1.15456E-01   1.10161E-01   4.75897E-02  
' igrid= 22
 0.00000E+00   0.00000E+00   3.05400E-01  -3.80938E-03   2.89359E-01   4.97274E-02  
 1.00000E+00   0.00000E+00   2.78900E-01  -1.37437E-02   3.11030E-01  -2.47599E-02  
 1.00000E+00   1.00000E+00   6.46800E-01  -3.55500E-02   2.82330E-01   7.61109E-02  
 0.00000E+00   1.00000E+00   6.02700E-01   9.07516E-02   1.78200E-01   9.12098E-02  
' igrid= 23
 1.00000E+00   0.00000E+00   2.78900E-01  -1.37437E-02   3.11030E-01  -2.47599E-02  
 2.00000E+00   0.00000E+00   2.82300E-01   3.10156E-03   2.50411E-01  -3.10674E-02  
 2.00000E+00   1.00000E+00   5.48100E-01  -5.60437E-02   3.17053E-01  -2.51488E-02  
 1.00000E+00   1.00000E+00   6.46800E-01  -3.55500E-02   2.82330E-01   7.61109E-02  
' igrid= 24
 2.00000E+00   0.00000E+00   2.82300E-01   3.10156E-03   2.50411E-01  -3.10674E-02  
