Layup,E_x,E_y,nu_xy,G_xy,thickness,density,mass_per_area
CFRP,76.39433237864722,21.501653717614765,0.7395692636516111,39.059009403017726,0.8,1600.0,1.28
Hybrid,62.8940813471802,8.053434039075906,0.5638355290270938,9.43676113360324,1.0,1420.0,1.42
FFRP,19.511105837747188,5.623336039600384,0.6464449454140176,7.236761133603239,1.0,1300.0,1.3
